Grupo,Accion,Producto,Fila en Productos,SKU,Codigo de Barras,Precio,Costo,Existencia,ID del sistema,Nota
25,DESACTIVAR,VALLEY FRUITS - CHINOLA,2494,00000939,,110.00,,,f95ef7fc-a03e-479c-942a-7fd781726a45,Duplicado exacto
26,CONSERVAR,VALLEY FRUITS - LIMON,1911,00000945,,110.00,78.39,,c1e8b5be-9653-4453-9da2-3fe5031b9af1,Tiene el costo cargado
26,DESACTIVAR,VALLEY FRUITS - LIMON,796,00000946,,110.00,,,54d95e29-16ee-447f-a7ae-99f3eb252d7b,Sin costo
28,CONSERVAR,COCONUT INCLUSION,851,,7460805300348,501.16,420.40,,5950ce2e-575d-4b65-af07-c0bbfd61a3c2,Codigo de barras real. Definir precio final: 501.16 o 613.76
28,DESACTIVAR,COCONUT INCLUSION,2177,1587,,613.76,389.28,,dc851fe9-068d-4e49-892e-8dde0117e4eb,Sin codigo de barras y en categoria CROISSANTS
29,CONSERVAR,RICE KRISPIES TREATS,904,,038000765414,45.00,36.00,,5e760dde-fa9f-4080-89c0-a9ea467656fb,Costo correcto. Asignarle categoria: esta vacia
29,DESACTIVAR,RICE KRISPIES TREATS,1105,,038000265013,30.00,169.49,,732dc929-f0fb-4d35-be74-e1985457e847,Costo 169.49 con precio 30.00: se vende con perdida
31,CONSERVAR,"BRUSCHETTE TOMATE, OLIVES Y OREGANO",912,,3800205875109,77.76,44.62,0,5f6a41f8-d95e-40fc-9802-f28c04fa7201,Codigo de barras real. Definir precio final: 77.76 o 125.00
31,DESACTIVAR,"BRUSCHETTE TOMATE, OLIVES Y OREGANO",2365,1582,,125.00,85.00,,ef50c06a-6b19-4afe-ad25-a26732cd2e9e,Sin codigo de barras
33,CONSERVAR,BANDEJA DE CARAMELOS,1089,,7464088413085,115.00,,,71cce390-1d86-460a-854a-9faa9c9e3d68,Codigo de barras real
33,DESACTIVAR,BANDEJA DE CARAMELOS,1515,1311,,115.00,,,9a670d19-0444-4109-943e-a6caf4948dc8,Sin codigo de barras
34,CONSERVAR,VALLEY FRUITS - CHINOLA CON AVENA,1820,00000941,,115.00,,,b9903348-7c8c-42a6-8d6c-6df4f5da34c1,SKU de la misma serie que el resto de VALLEY FRUITS
34,DESACTIVAR,VALLEY FRUITS - CHINOLA CON AVENA,1188,90311055,,115.00,,,7bddd93a-88fb-4605-85d8-e49e47ca457f,SKU fuera de la serie
35,CONSERVAR,VALLEY FRUITS - FRESA,2598,00000944,,95.00,,,08667612-4bd9-4b24-bdb3-35608857bcdc,SKU de la misma serie. Definir precio final: 95 o 110
35,DESACTIVAR,VALLEY FRUITS - FRESA,1203,90320309,,110.00,,,7dede709-7b08-4a2d-9521-ff07995afe8d,SKU fuera de la serie
37,CONSERVAR,MUNCHIES CHEESE,1306,,028400023573,451.41,292.97,,8784c188-889c-445c-9f11-5b2f085a9aff,Codigo de barras real
37,DESACTIVAR,MUNCHIES CHEESE,1729,1481,,451.41,292.97,,af4a4893-58cb-43c5-8d62-6a2e60efa230,Sin codigo de barras
38,CONSERVAR,ICE CUBE PEPPERMINT,1512,03484308,,435.44,261.15,15,9a3249af-2a2f-4ef1-bdb2-d247f57076a3,Tiene existencia 15 y margen correcto
38,DESACTIVAR,ICE CUBE PEPPERMINT,2171,00001464,,310.00,322.44,,db423ddf-d5b4-472e-b459-8b8bf1d09a08,Costo 322.44 con precio 310.00: se vende con perdida
39,CONSERVAR,TIC TAC ORANGE,1464,009800007639,009800007639,127.12,107.81,2,9493bb90-3e5c-425b-b0a0-615840465249,Nombre correcto y con existencia
39,DESACTIVAR,TIC TAC ORANCE,6,,009800007233,132.00,91.04,0,eb367f79-51ef-4b14-ab12-953d9bf992b3,Nombre mal escrito (ORANCE)
40,CONSERVAR,GATORLYTE FRESA KIWI,782,052000047912,052000047912,122.69,53.57,,52885687-81b5-452a-b3f2-baa583d5fb9f,Nombre correcto y costo cargado
40,DESACTIVAR,GATORLIT-FRESA KIWI,118,7460548002189,7460548002189,145.00,,-5,d9cc790b-9c49-48f6-afd2-4adb3ef1d9dd,Nombre mal escrito. CORREGIR: tiene -5 de existencia
41,CONSERVAR,MINI SUMO GUSTO COCO AVENA,175,7461326121139,7461326121139,150.00,118.00,,12bb7d2d-4258-4d0c-8551-31a50b39a716,Se conserva por el codigo de barras. CORREGIR el nombre a MINI ZUMO
41,DESACTIVAR,MINI ZUMO GUSTO COCO AVENA,773,1105,,150.00,118.00,,517ee4a1-93b3-4c6a-ad5f-73d7e7cd7aa5,Nombre correcto pero sin codigo de barras
42,CONSERVAR,KISSES HERSHEYS,300,03412107,,74.00,58.50,,1e055141-b4f1-4405-9d7f-2c7081502528,OJO COPIARLE el codigo de barras 034000121007 ANTES de desactivar el otro
42,DESACTIVAR,HARSHEYS KISSES,749,,034000121007,80.00,54.37,,4fe0900c-607c-4d65-bea3-e99954af08f3,Nombre mal escrito y sin categoria
44,CONSERVAR,RUFFLES QUESO,2584,7460496803265,7460496803265,140.00,100.77,1,06f0f2f8-0ca7-4abf-b441-d45df02248be,Nombre correcto y precio con margen
44,DESACTIVAR,RUFLES QUESO,638,721282402787,721282402787,42.50,103.13,,423f1983-8b24-427e-a5ed-d146f0c918b5,Nombre mal escrito. Costo 103.13 con precio 42.50: se vende con perdida
45,CONSERVAR,MANI CON PASA,2656,,7465610154445,100.03,81.41,8,0008f1ee-04d4-4a6b-83b8-ec68fdba3cfa,Codigo categoria y existencia. CORREGIR nombre a MANI CON PASAS
45,DESACTIVAR,MANI CON PASAS,991,00000582,,169.49,110.17,,6777f3af-4497-43c2-afa6-6ed9bee4a03d,Sin codigo de barras ni categoria
50,CONSERVAR,MINI ZUMO GUSTO AVENA,1687,1110,,200.00,120.00,,aba79d16-87cd-44cd-bde4-18acc31ed796,Nombre correcto. Definir precio final: 150 o 200
50,DESACTIVAR,MINI SUMO GUSTO AVENA,1215,1104,,150.00,112.10,,7eaedb38-eca5-425b-bd5d-d38e34abe99b,Nombre mal escrito (SUMO)
52,CONSERVAR,GALLETA DE MANTECA,1822,00000422,,50.00,16.67,0,b9e70253-d620-4773-a746-511895c916a3,Costo correcto
52,DESACTIVAR,GALLETAS DE MANTECA,1244,0000000054,,50.00,50.00,,82267686-2912-4432-bd68-3a1f97f70dbe,Costo igual al precio: margen cero
55,CONSERVAR,MINI SUMO GUSTO LEMON,1897,7461326121122,7461326121122,150.00,118.00,-4,c047e985-3456-4e9a-903d-4232ec60400f,Se conserva por el codigo. CORREGIR el nombre a MINI ZUMO y la existencia en -4
55,DESACTIVAR,MINI ZUMO GUSTO LEMON,2355,1106,,150.00,118.00,,ee3b8154-d966-4bce-ab94-8df26a14ce70,Nombre correcto pero sin codigo de barras
,,,,,,,,,,
VERIFICAR EN FISICO,,,,,,,,,,7 grupos: NO desactivar todavia. Confirmar en el estante si son el mismo articulo
3,VERIFICAR,CARAJILLO,23,,,350.00,,,cb861762-dc5e-4491-b30e-1a2b82f98ad7,Precio 350.00 en TRAGOS
3,VERIFICAR,CARAJILLO,1953,00001628,,93.50,,,c5f5d3dc-e3b5-4907-b0d8-9f577679522b,Precio 93.50 sin categoria. Diferencia muy grande: puede ser otra presentacion
5,VERIFICAR,CANADA DRY TONIC WATER,45,07812402,07812402,75.00,43.75,3,ec73479c-9a94-4635-8547-64fd89e87f87,Mismo SKU pero el otro dice LATA
5,VERIFICAR,CANADA DRY AGUA TONICA LATA,994,07812402,,42.38,22.18,,67d8ec7e-3ca3-4ab9-ab46-375f866d1cf8,Confirmar si uno es botella y el otro lata
8,VERIFICAR,LEGENDARY RANCH,102,810035972834,810035972834,200.00,,17,9c68b4c6-f6a2-41e3-8fe2-dca41967a37b,Codigos de barras distintos y precio 200 vs 300
8,VERIFICAR,LEGENDARY RANCH,479,810035971981,810035971981,300.00,214.14,,32a4c052-780d-449b-a3cc-68a7e646b77c,Puede ser otro tamano o sabor
14,VERIFICAR,MOUSE DE CHOCOLATE,341,00000622,,135.00,,,22e7a7b2-7f41-4cb8-89b2-da8fddef74bc,Precio 135.00
14,VERIFICAR,MOUSE DE CHOCOLATE,1190,00001469,,243.00,180.00,,7c0dc35d-9d15-4ceb-a7a3-7e1636504187,Precio 243.00 en POSTRES. Confirmar si uno es porcion
16,VERIFICAR,BRONX BREWERY SMILE MY GUY,382,850003883373,850003883373,411.00,330.40,,27525ca3-5fc0-412e-b983-ec0d5d1e51c3,Codigos de barras distintos
16,VERIFICAR,BRONX BREWERY SMILE MY GUY,751,850003883601,850003883601,330.40,236.00,,4fe82517-10f4-42e8-8bc1-906c10249242,Puede ser lata vs botella o presentacion distinta
32,VERIFICAR,HEINEKEN 0.0,1011,072890006189,072890006189,142.02,124.15,,69c3b903-4556-4856-9b1a-46362fc769a6,Codigo termina en 6189
32,VERIFICAR,HEINEKEN 0.0,1748,072890006196,072890006196,179.80,124.00,65,b18c361b-c5ab-4788-8af9-6a590fa8c995,Codigo termina en 6196. Suelen ser presentaciones distintas del mismo fabricante
48,VERIFICAR,DINOSAURIOS CARS,1136,3650365312033,3650365312033,153.60,144.86,,771b70cb-186c-40be-b2e2-6af4b1c1440a,Codigo termina en 033
48,VERIFICAR,DINOSAURS CARS,1968,3650365312040,3650365312040,155.76,125.00,,c6c20736-5428-484f-a637-b30882e3f383,Codigo termina en 040. Codigos seguidos suelen ser variantes distintas
,,,,,,,,,,
NO SON DUPLICADOS,,,,,,,,,,14 grupos: NO desactivar ninguno. Son productos distintos
2,NO TOCAR,MY MOTTO HAZELNUT Y COCOA,10,,3800205876861,25.00,16.85,0,cf93c668-1f03-49c5-a580-8817e482bacb,Sabores distintos con el MISMO codigo de barras: hay que corregir uno de los dos codigos
2,NO TOCAR,MY MOTTO TIRAMISU,11,,3800205876861,25.00,16.85,0,7a2097e8-63ce-46be-99d6-077ec78713a3,No es duplicado: es un codigo de barras mal tecleado
10,NO TOCAR,GALLETAS AVENA CON PASAS UND,142,00001429,,30.00,13.42,,0fa87fba-11e8-45a6-80e5-ed01d14a53ef,Es la unidad
10,NO TOCAR,GALLETAS AVENA CON PASAS,381,00001213,,110.50,28.92,,270e8dac-fb0b-4577-880d-322cc23e2c12,Es el paquete
19,NO TOCAR,CHEMILO DELI GOURMET 25 UND,454,765619163059,765619163059,182.36,100.30,7,2fb027bc-ae75-486b-974f-58cd53e8d5ba,Mismo codigo de barras pero producto y precio distintos
19,NO TOCAR,CHEMIMERIENDA SNACKS PAQ,756,765619163059,765619163059,371.90,112.10,12,5050a858-30be-4432-bdc1-175a45fe0e44,Hay que corregir el codigo de barras de uno de los dos
27,NO TOCAR,SEMILLAS DE CAJUIL CON SAL,810,607766655309,607766655309,250.00,,,55aea927-1531-436b-9db2-5a09fa0fbead,CON sal
27,NO TOCAR,SEMILLAS DE CAJUIL SIN SAL,2154,607766165556,607766165556,250.00,162.50,,da0ac977-3580-4239-90a8-c1a3c1f1d1dd,SIN sal: producto distinto
30,NO TOCAR,BRAZO GITANO,910,00001000,,1356.00,1000.00,,5f40d95e-8e05-437c-b9a2-6fa96f2de6e8,Es el brazo completo
30,NO TOCAR,BRAZO GITANO,1480,00000073,,127.20,82.68,,95eb905c-4c81-4926-8d28-50c60a2b4247,Es la porcion
36,NO TOCAR,LA LOMA MACADAMIA SIN SAL,1285,7465983577063,7465983577063,146.16,118.94,11,861ed9b6-2afa-4c65-bd76-136ec20be61d,SIN sal
36,NO TOCAR,LA LOMA MACADAMIA CON SAL,1858,7465983577056,7465983577056,146.16,118.94,10,bd0cd5b0-1d71-4e57-8e2e-64b4759692b7,CON sal: producto distinto
43,NO TOCAR,PALETA HELADO CHOCO-DULCE DE LECHE,301,1323,,104.40,80.83,,1e502fbd-f7a2-4707-b32e-20229cd6399c,Sabor chocolate
43,NO TOCAR,PALETA HELADO COCO DULCE DE LECHE,2369,1322,,104.40,80.83,,efac9892-7dd6-4db4-8df3-791c2246bde3,Sabor coco: SKU seguidos creados a proposito
46,NO TOCAR,COOKIE CLASSIC CHOCOLATE CHIP,1015,815216018837,815216018837,139.83,112.10,,6a2578e2-e2b3-4c34-a2a8-b861e3bb55d5,Precio 139.83
46,NO TOCAR,COOKIE CHOCOLATE CHIP,2200,787692834617,787692834617,461.97,137.50,6,df653ac4-e690-4589-9296-d4635b402a5a,Precio 461.97 y otro codigo: marca o tamano distinto
47,NO TOCAR,TRAGO DE BRUGAL 1888,1042,00001893,,435.00,292.83,,6d4ff3f8-9c87-4ec7-914f-341ec44fac1c,Es la copa
47,NO TOCAR,BRUGAL 1888,2389,7460855230206,7460855230206,2639.65,2075.00,2,f10b2454-5bc0-4ca3-8689-bc1a69b6981c,Es la botella
49,NO TOCAR,TRAGO GINEBRA BERMUDEZ,1194,1339,,250.00,47.28,,7ca534fa-979c-49a6-b8d5-9bf01aa1e4b1,Es la copa
49,NO TOCAR,GINEBRA BERMUDEZ,2626,7460522300461,7460522300461,1.10,590.94,11,0b544271-6109-4777-aea7-83973fc3d4cb,Es la botella. URGENTE: precio 1.10 con costo 590.94
51,NO TOCAR,BARCELO IMPERIAL,1238,7461323129459,7461323129459,1144.07,1088.03,4,819e99e4-2755-4574-9c3a-83d0f0e0161e,Es la botella
51,NO TOCAR,TRAGO BARCELO IMPERIAL,2068,00000888,,385.00,,,d111a335-24cb-4ab1-8d56-37f20f9c35f4,Es la copa
53,NO TOCAR,DULCE DE LECHE,1343,,7464088411012,71.55,,,8a53ca26-d751-406d-a4fa-1c3e998baea7,Producto empacado
53,NO TOCAR,SERVICIO DE DULCE DE LECHE,2552,00000796,,85.00,,,031f4d88-b110-4c3d-b0c8-ab335c259909,Servicio de postre
54,NO TOCAR,TRAGO BRUGAL DOBLE RESERVA,1447,00000889,,315.00,200.00,,935267f8-78ba-4fee-87f0-2fc4b68fb2de,Es la copa
54,NO TOCAR,BRUGAL DOBLE RESERVA,2560,7460855233498,7460855233498,1300.00,895.00,5,043a5361-b835-4452-839d-b9daf0901835,Es la botella
56,NO TOCAR,ILLOGICAL CONCLUSION,2170,059865897935,059865897935,598.85,413.00,,db32fd4e-271b-4086-abbd-5440697a5db4,Cerveza
56,NO TOCAR,LOGICAL CONCLUSION,2559,040232463242,040232463242,203.00,190.00,,04181784-91dd-4900-9329-eee00970d5c2,Otra cerveza distinta: no es error de tipeo
